A1,B1,C1,C3,D1,E1,F,G,H,I,D2,E2,A2,B2,C2,Target
1,0,0,0,0,0,42.94,3.35,0,0.66,0.0,0.0,15.17,0.0,0.0,0
8,0,1,1,0,0,29.0,9.54,1,13.45,0.0,0.0,5.95,0.0,74.35,0
4,0,0,0,0,0,45.92,2.14,0,11.31,0.0,0.0,3.54,0.0,0.0,0
3,84,0,0,0,0,39.56,3.33,0,209.24,0.0,0.0,0.14,401.45,0.0,0
6,0,0,0,0,0,36.25,5.38,0,3.17,0.0,0.0,18.92,0.0,0.0,0
7,0,0,0,0,0,39.58,1.2,0,16.98,0.0,0.0,4.12,0.0,0.0,0
5702,4,0,0,2,8,37.69,1.91,0,5703.7,0.0,0.01,10.0,0.7,0.0,0
15,0,0,0,0,0,34.28,2.06,0,41.22,0.0,0.0,3.64,0.0,0.0,0
8,0,0,0,0,0,39.22,8.02,1,7.25,0.0,0.0,11.03,0.0,0.0,0
10,0,0,0,0,0,64.27,22.64,1,10.1,0.0,0.0,9.9,0.0,0.0,0
1,0,0,0,0,0,17.93,18.2,1,20.29,0.0,0.0,0.49,0.0,0.0,0
11,0,0,0,0,0,42.26,3.52,0,24.29,0.0,0.0,4.53,0.0,0.0,0
1,0,0,0,0,0,39.03,2.1,0,149.22,0.0,0.0,0.07,0.0,0.0,0
42,0,0,0,0,0,41.11,0.33,0,41.85,0.0,0.0,10.04,0.0,0.0,0
308,0,0,0,0,0,45.07,4.21,0,332.95,0.0,0.0,9.25,0.0,0.0,0
126,0,0,0,0,0,51.49,3.42,0,160.04,0.0,0.0,7.87,0.0,0.0,0
15,0,0,0,0,0,44.98,2.34,0,15.92,0.0,0.0,9.42,0.0,0.0,0
3,0,0,0,0,0,38.46,3.18,0,1.5,0.0,0.0,19.96,0.0,0.0,0
4,0,0,0,0,0,42.81,1.86,0,96.91,0.0,0.0,0.41,0.0,0.0,0
1,0,0,0,0,0,53.23,8.94,0,16.49,0.0,0.0,0.61,0.0,0.0,0
2,0,0,0,0,0,38.79,5.51,0,6.32,0.0,0.0,3.17,0.0,0.0,0
68770,4,1,0,79,8,39.13,5.16,0,82641.35,0.01,0.0,8.32,0.05,0.01,0
804,0,0,0,25,25,35.06,0.81,0,861.42,0.29,0.29,9.33,0.0,0.0,0
2,0,0,0,0,0,40.54,6.78,0,1.45,0.0,0.0,13.76,0.0,0.0,0
1,0,0,0,0,0,37.25,3.53,0,6.99,0.0,0.0,1.43,0.0,0.0,0
5,0,0,0,0,0,61.52,17.22,1,3.27,0.0,0.0,15.3,0.0,0.0,0
7,0,0,0,0,0,37.25,1.11,0,15.12,0.0,0.0,4.63,0.0,0.0,0
2,0,0,0,0,0,50.18,8.55,0,2.74,0.0,0.0,7.3,0.0,0.0,0
1,0,0,0,0,0,38.45,1.3,0,7.55,0.0,0.0,1.32,0.0,0.0,0
1,0,0,0,0,0,52.67,8.37,0,5.0,0.0,0.0,2.0,0.0,0.0,0
3,0,0,0,0,0,54.76,7.05,0,3.68,0.0,0.0,8.15,0.0,0.0,0
3,0,0,0,0,0,21.72,2.27,0,8.44,0.0,0.0,3.55,0.0,0.0,0
30,0,0,0,0,0,37.12,3.46,0,67.47,0.0,0.0,4.45,0.0,0.0,0
3,0,0,0,0,0,56.47,13.83,1,59.49,0.0,0.0,0.5,0.0,0.0,0
21,0,0,0,0,0,43.61,3.46,1,60.0,0.0,0.0,3.5,0.0,0.0,0
8,0,0,0,0,0,34.26,6.52,1,12.94,0.0,0.0,6.18,0.0,0.0,0
37,0,23,0,0,0,36.42,0.52,0,64.96,0.0,0.0,5.7,0.0,354.06,0
18,0,0,0,0,0,42.6,5.46,0,32.23,0.0,0.0,5.58,0.0,0.0,0
4945,15,5,1,66,60,48.82,3.19,0,4690.09,0.14,0.13,10.54,3.2,1.07,0
9,0,0,0,0,0,30.11,10.75,1,6.1,0.0,0.0,14.76,0.0,0.0,0
1,0,0,0,0,0,35.51,0.62,0,70.47,0.0,0.0,0.14,0.0,0.0,0
5,0,0,0,0,0,34.47,7.17,0,3.25,0.0,0.0,15.38,0.0,0.0,0
1,0,0,0,0,0,34.83,1.3,0,114.14,0.0,0.0,0.09,0.0,0.0,0
6,0,0,0,0,0,9.97,31.67,1,42.24,0.0,0.0,1.42,0.0,0.0,0
23,0,0,0,0,0,46.62,0.45,0,40.0,0.0,0.0,5.75,0.0,0.0,0
41,0,0,0,0,0,44.51,2.56,1,36.09,0.0,0.0,11.36,0.0,0.0,0
86,0,0,0,3,11,53.53,0.39,0,74.11,0.4,1.48,11.6,0.0,0.0,0
1,0,0,0,0,0,51.73,1.73,0,105.02,0.0,0.0,0.1,0.0,0.0,0
35,0,0,0,0,0,41.75,7.67,1,86.17,0.0,0.0,4.06,0.0,0.0,0
2345,0,0,0,0,0,41.24,0.38,0,3010.16,0.0,0.0,7.79,0.0,0.0,0
1,0,0,0,0,0,29.27,6.6,1,1.21,0.0,0.0,8.29,0.0,0.0,0
4,0,0,0,0,0,53.59,5.9,0,25.57,0.0,0.0,1.56,0.0,0.0,0
410,0,0,0,0,0,35.79,3.81,0,554.26,0.0,0.0,7.4,0.0,0.0,0
1,0,0,0,0,0,46.51,5.73,1,7.23,0.0,0.0,1.38,0.0,0.0,0
1,0,0,0,0,0,40.08,0.48,0,0.76,0.0,0.0,13.14,0.0,0.0,0
165,0,0,0,0,0,32.34,3.53,0,150.53,0.0,0.0,10.96,0.0,0.0,0
3,0,0,0,0,0,34.62,1.52,0,34.55,0.0,0.0,0.87,0.0,0.0,0
1,0,0,0,0,0,38.52,3.12,0,1.47,0.0,0.0,6.79,0.0,0.0,0
8,0,0,0,0,0,28.41,19.3,1,14.63,0.0,0.0,5.47,0.0,0.0,0
7,0,0,0,0,0,38.0,1.65,0,18.83,0.0,0.0,3.72,0.0,0.0,0
7,0,0,0,0,0,38.36,2.23,0,23.48,0.0,0.0,2.98,0.0,0.0,0
14,0,0,0,0,0,32.69,2.42,0,86.98,0.0,0.0,1.61,0.0,0.0,0
7,0,0,0,0,0,45.71,4.93,0,17.78,0.0,0.0,3.94,0.0,0.0,0
9,0,0,0,0,0,33.45,7.33,1,18.1,0.0,0.0,4.97,0.0,0.0,0
1,0,0,0,0,0,40.49,4.62,0,1.17,0.0,0.0,8.53,0.0,0.0,0
10,0,0,0,0,0,44.63,3.85,0,20.29,0.0,0.0,4.93,0.0,0.0,0
1,0,0,0,0,0,41.47,1.87,0,1.14,0.0,0.0,8.75,0.0,0.0,0
9,0,0,0,0,0,37.34,2.75,0,10.6,0.0,0.0,8.49,0.0,0.0,0
3,0,0,0,0,0,18.72,22.92,1,2.47,0.0,0.0,12.16,0.0,0.0,0
1,0,0,0,0,0,48.12,8.52,1,0.56,0.0,0.0,17.89,0.0,0.0,0
31,0,0,0,0,0,46.47,0.6,0,40.0,0.0,0.0,7.75,0.0,0.0,0
32,0,0,0,0,0,45.97,1.1,0,60.0,0.0,0.0,5.33,0.0,0.0,0
1,0,0,0,0,0,34.07,1.72,0,1.31,0.0,0.0,7.66,0.0,0.0,0
2,0,0,0,0,0,38.99,2.85,0,15.25,0.0,0.0,1.31,0.0,0.0,0
24,0,0,0,0,0,42.63,0.6,0,30.6,0.0,0.0,7.84,0.0,0.0,0
4,0,0,0,0,0,42.14,1.36,0,11.18,0.0,0.0,3.58,0.0,0.0,0
5,0,0,0,0,0,63.19,22.42,1,17.75,0.0,0.0,2.82,0.0,0.0,0
51756,1,0,0,168,53,40.88,7.8,0,42830.75,0.04,0.01,12.08,0.02,0.0,0
2,0,0,0,0,0,40.04,0.3,0,17.54,0.0,0.0,1.14,0.0,0.0,0
127,0,0,0,0,0,37.42,11.27,1,99.77,0.0,0.0,12.73,0.0,0.0,0
1,0,0,0,0,0,50.18,5.88,0,5.91,0.0,0.0,1.69,0.0,0.0,0
12,0,0,0,0,0,48.96,1.89,1,23.32,0.0,0.0,5.15,0.0,0.0,0
5553,0,0,0,0,0,38.41,2.45,0,6567.43,0.0,0.0,8.46,0.0,0.0,0
38,0,0,0,2,4,47.78,0.72,0,56.55,0.35,0.71,6.72,0.0,0.0,0
1,0,0,0,0,0,56.24,11.21,0,0.97,0.0,0.0,10.32,0.0,0.0,0
31,0,0,0,0,0,46.16,0.9,0,35.79,0.0,0.0,8.66,0.0,0.0,0
1,0,0,0,0,0,35.6,0.53,0,55.26,0.0,0.0,0.18,0.0,0.0,0
1,0,0,0,0,0,41.73,1.01,0,7.25,0.0,0.0,1.38,0.0,0.0,0
7,0,0,0,0,0,44.43,3.63,0,16.73,0.0,0.0,4.18,0.0,0.0,0
16,0,0,0,0,0,43.96,0.71,0,48.41,0.0,0.0,3.3,0.0,0.0,0
1,0,0,0,0,0,39.45,0.15,0,0.51,0.0,0.0,19.72,0.0,0.0,0
1,2,2,2,25,25,38.22,19.17,1,44.24,5.65,5.65,0.23,45.21,45.21,1
2,0,0,0,0,0,36.81,0.68,0,24.31,0.0,0.0,0.82,0.0,0.0,0
2004,0,0,0,0,0,45.92,5.06,0,2559.04,0.0,0.0,7.83,0.0,0.0,0
49,0,1,1,25,25,29.44,9.75,0,49.76,5.02,5.02,9.85,0.0,20.1,1
20842,20,0,0,27,58,54.92,2.92,0,22821.97,0.01,0.03,9.13,0.88,0.0,0
1,0,0,0,0,0,65.7,24.06,1,1.1,0.0,0.0,9.05,0.0,0.0,0
47,0,0,0,0,0,43.29,1.26,0,84.98,0.0,0.0,5.53,0.0,0.0,0
211,0,0,0,0,0,52.95,4.89,0,397.2,0.0,0.0,5.31,0.0,0.0,0
78,0,0,0,0,0,27.08,13.49,1,258.9,0.0,0.0,3.01,0.0,0.0,0
1,0,0,0,0,0,60.85,16.56,1,3.1,0.0,0.0,3.22,0.0,0.0,0
3,0,0,0,0,0,49.62,5.33,0,15.33,0.0,0.0,1.96,0.0,0.0,0
1,0,0,0,0,0,42.33,0.69,0,1.25,0.0,0.0,8.03,0.0,0.0,0
2,0,0,0,0,0,37.65,3.99,0,1.24,0.0,0.0,16.09,0.0,0.0,0
1,0,0,0,0,0,35.29,0.84,0,45.59,0.0,0.0,0.22,0.0,0.0,0
2,0,0,0,0,0,52.6,10.96,1,1.23,0.0,0.0,16.23,0.0,0.0,0
6791,0,0,0,11,35,50.24,2.18,0,8305.54,0.01,0.04,8.18,0.0,0.0,0
3,0,0,0,0,0,44.61,3.1,0,1.48,0.0,0.0,20.34,0.0,0.0,0
3,0,0,0,0,0,39.62,8.06,1,20.91,0.0,0.0,1.44,0.0,0.0,0
11,0,0,0,0,0,35.34,3.54,1,20.36,0.0,0.0,5.4,0.0,0.0,0
5,0,0,0,0,0,34.05,1.81,0,8.73,0.0,0.0,5.73,0.0,0.0,0
3,0,0,0,0,0,30.79,12.89,0,8.16,0.0,0.0,3.68,0.0,0.0,0
9,0,0,0,0,0,41.86,4.9,0,24.79,0.0,0.0,3.63,0.0,0.0,0
1,0,0,0,0,0,58.47,10.04,1,1.12,0.0,0.0,8.91,0.0,0.0,0
4,0,0,0,0,0,33.98,5.62,0,2.36,0.0,0.0,16.93,0.0,0.0,0
2,0,0,0,0,0,39.55,3.21,0,2.4,0.0,0.0,8.33,0.0,0.0,0
1,0,0,0,0,0,41.15,1.4,0,20.67,0.0,0.0,0.48,0.0,0.0,0
1,0,0,0,0,0,31.59,4.75,1,7.09,0.0,0.0,1.41,0.0,0.0,0
1,0,0,0,0,0,61.27,16.98,1,3.04,0.0,0.0,3.29,0.0,0.0,0
12,0,0,0,0,0,32.81,6.78,1,19.44,0.0,0.0,6.17,0.0,0.0,0
4,0,2,2,0,0,51.89,2.09,0,31.29,0.0,0.0,1.28,0.0,63.92,0
447,0,0,0,0,0,50.14,2.41,0,1280.76,0.0,0.0,3.49,0.0,0.0,0
1,0,0,0,0,0,32.77,3.1,0,0.59,0.0,0.0,16.89,0.0,0.0,0
2,0,0,0,0,0,36.73,4.91,0,1.02,0.0,0.0,19.59,0.0,0.0,0
1,0,0,0,0,0,43.74,3.58,0,114.15,0.0,0.0,0.09,0.0,0.0,0
94,0,0,0,0,1,52.97,4.91,0,196.7,0.0,0.05,4.78,0.0,0.0,0
6,0,0,0,0,0,32.02,4.11,0,14.09,0.0,0.0,4.26,0.0,0.0,0
1,0,0,0,0,0,53.33,4.97,0,18.82,0.0,0.0,0.53,0.0,0.0,0
2,0,0,0,0,0,35.74,5.9,0,1.95,0.0,0.0,10.24,0.0,0.0,0
5,0,0,0,0,0,52.55,5.27,0,6.64,0.0,0.0,7.53,0.0,0.0,0
5,0,0,0,0,0,38.78,0.82,0,3.2,0.0,0.0,15.62,0.0,0.0,0
2,0,0,0,0,0,62.77,15.06,1,1.68,0.0,0.0,11.88,0.0,0.0,0
33012,3,4,4,0,11,45.51,0.48,0,38725.07,0.0,0.0,8.52,0.08,0.1,0
12,0,0,0,0,0,33.3,2.57,0,8.16,0.0,0.0,14.71,0.0,0.0,0
1,0,0,0,0,0,55.56,11.27,0,3.27,0.0,0.0,3.06,0.0,0.0,0
1,0,0,0,0,0,30.42,11.21,1,1.4,0.0,0.0,7.16,0.0,0.0,0
1,0,0,0,0,0,52.01,7.72,0,4.25,0.0,0.0,2.35,0.0,0.0,0
1,0,49,6,0,0,58.3,14.37,1,207.17,0.0,0.0,0.05,0.0,236.52,0
3,0,0,0,0,0,40.05,0.31,0,7.19,0.0,0.0,4.17,0.0,0.0,0
62,0,0,0,1,0,47.67,0.6,0,80.0,0.12,0.0,7.75,0.0,0.0,0
6,0,0,0,0,0,34.85,4.02,1,10.09,0.0,0.0,5.95,0.0,0.0,0
1,0,0,0,0,0,35.08,0.72,0,1.24,0.0,0.0,8.05,0.0,0.0,0
3,0,0,0,0,0,35.97,4.81,0,6.81,0.0,0.0,4.4,0.0,0.0,0
3,0,0,0,0,0,40.4,0.38,0,11.96,0.0,0.0,2.51,0.0,0.0,0
2,0,0,0,0,0,43.16,3.56,0,0.7,0.0,0.0,28.49,0.0,0.0,0
2,0,0,0,0,0,61.13,16.84,1,4.02,0.0,0.0,4.97,0.0,0.0,0
13,0,0,0,0,0,66.88,13.42,1,45.11,0.0,0.0,2.88,0.0,0.0,0
2,0,0,0,0,0,34.73,1.4,0,152.57,0.0,0.0,0.13,0.0,0.0,0
1,0,0,0,0,0,48.39,11.97,1,16.08,0.0,0.0,0.62,0.0,0.0,0
4,0,0,0,0,0,40.73,4.86,0,2.6,0.0,0.0,15.41,0.0,0.0,0
5,0,0,0,0,0,60.31,16.01,1,7.06,0.0,0.0,7.09,0.0,0.0,0
3,0,0,0,0,0,29.6,12.03,1,3.52,0.0,0.0,8.52,0.0,0.0,0
3,0,0,0,0,0,44.68,4.93,0,1.28,0.0,0.0,23.47,0.0,0.0,0
4,0,0,0,0,0,45.23,3.59,0,1.8,0.0,0.0,22.2,0.0,0.0,0
2,0,0,0,0,0,27.39,14.25,1,5.48,0.0,0.0,3.65,0.0,0.0,0
1,0,0,0,0,0,37.27,3.5,0,5.99,0.0,0.0,1.67,0.0,0.0,0
14,0,0,0,0,0,42.09,2.58,0,58.34,0.0,0.0,2.4,0.0,0.0,0
2,0,0,0,0,0,40.49,0.64,0,109.13,0.0,0.0,0.18,0.0,0.0,0
1,0,0,0,0,0,61.45,17.15,1,4.21,0.0,0.0,2.38,0.0,0.0,0
7,0,14,0,0,0,42.95,5.61,1,11.88,0.0,0.0,5.89,0.0,1178.35,0
6,0,0,0,0,0,41.07,3.22,0,10.85,0.0,0.0,5.53,0.0,0.0,0
1,0,0,0,0,0,53.9,6.19,0,1.5,0.0,0.0,6.66,0.0,0.0,0
1,0,0,0,0,0,36.97,5.14,1,0.21,0.0,0.0,47.39,0.0,0.0,0
723,0,0,0,0,0,41.51,1.13,0,492.89,0.0,0.0,14.67,0.0,0.0,0
2,0,0,0,0,0,19.9,27.81,1,4.02,0.0,0.0,4.98,0.0,0.0,0
29,0,0,0,0,0,49.16,2.09,1,40.0,0.0,0.0,7.25,0.0,0.0,0
31,0,1,0,0,0,35.17,1.17,0,36.55,0.0,0.0,8.48,0.0,27.36,0
91099,5,20,13,399,73,40.6,4.47,0,131319.6,0.03,0.01,6.94,0.04,0.15,0
3,0,0,0,0,0,50.34,0.65,0,4.06,0.0,0.0,7.39,0.0,0.0,0
20,0,0,0,0,0,46.78,4.16,1,21.68,0.0,0.0,9.22,0.0,0.0,0
53,0,0,0,0,0,46.01,1.06,0,80.0,0.0,0.0,6.62,0.0,0.0,0
18443,11,1,1,134,83,40.74,1.36,0,34754.64,0.04,0.02,5.31,0.32,0.03,0
403,0,13,6,0,0,46.23,1.08,0,1040.43,0.0,0.0,3.87,0.0,12.49,0
18,0,0,0,0,0,38.71,0.03,0,20.03,0.0,0.0,8.99,0.0,0.0,0
1,0,0,0,0,0,52.74,8.45,0,4.65,0.0,0.0,2.15,0.0,0.0,0
3,0,0,0,0,0,36.28,0.41,0,1.47,0.0,0.0,20.42,0.0,0.0,0
9,13,0,0,0,0,51.55,2.37,0,302.45,0.0,0.0,0.3,42.98,0.0,0
1,0,0,0,0,0,52.02,1.44,0,49.05,0.0,0.0,0.2,0.0,0.0,0
74168,53,7,4,90,58,45.02,5.51,1,107211.14,0.01,0.01,6.92,0.49,0.07,0
1,0,0,0,0,0,39.1,2.97,0,49.38,0.0,0.0,0.2,0.0,0.0,0
5,0,0,0,0,0,37.33,2.42,0,86.96,0.0,0.0,0.57,0.0,0.0,0
1727,2,0,0,25,27,51.83,0.81,0,2252.72,0.11,0.12,7.67,0.89,0.0,0
62,0,0,0,0,0,35.21,1.14,0,70.85,0.0,0.0,8.75,0.0,0.0,0
4,0,0,0,0,0,62.87,16.79,1,5.51,0.0,0.0,7.26,0.0,0.0,0
2,0,0,0,0,0,47.94,6.3,0,1.26,0.0,0.0,15.85,0.0,0.0,0
198,0,0,0,0,0,32.29,4.33,0,761.75,0.0,0.0,2.6,0.0,0.0,0
1,0,0,0,0,0,60.84,16.55,1,13.5,0.0,0.0,0.74,0.0,0.0,0
3,0,0,0,0,0,39.53,0.57,0,4.72,0.0,0.0,6.35,0.0,0.0,0
16,0,0,0,0,0,44.07,7.94,0,45.87,0.0,0.0,3.49,0.0,0.0,0
42,0,0,0,0,0,39.46,2.78,0,32.38,0.0,0.0,12.97,0.0,0.0,0
100,0,0,0,0,0,37.03,1.13,0,136.52,0.0,0.0,7.32,0.0,0.0,0
3,0,0,0,0,0,45.9,1.61,0,12.81,0.0,0.0,2.34,0.0,0.0,0
2,0,0,0,0,0,26.14,18.16,1,5.62,0.0,0.0,3.56,0.0,0.0,0
58,0,0,0,0,0,47.58,0.51,0,60.0,0.0,0.0,9.67,0.0,0.0,0
1,0,0,0,0,0,52.1,3.67,0,1.05,0.0,0.0,9.56,0.0,0.0,0
2,0,0,0,0,0,32.94,11.36,0,6.25,0.0,0.0,3.2,0.0,0.0,0
122,0,0,0,0,0,40.85,1.79,0,159.31,0.0,0.0,7.66,0.0,0.0,0
31,0,0,0,0,0,42.02,0.09,0,77.21,0.0,0.0,4.01,0.0,0.0,0
28,0,0,0,0,0,43.16,1.06,0,41.03,0.0,0.0,6.82,0.0,0.0,0
33,0,0,0,0,0,46.69,0.38,0,60.0,0.0,0.0,5.5,0.0,0.0,0
13,0,21,0,0,0,50.15,3.09,1,38.72,0.0,0.0,3.36,0.0,542.41,0
37,0,0,0,0,0,47.21,0.15,0,60.0,0.0,0.0,6.17,0.0,0.0,0
4,0,0,0,0,0,36.21,0.14,0,4.15,0.0,0.0,9.63,0.0,0.0,0
22007,69,1,1,6,29,44.08,0.8,0,25180.94,0.0,0.01,8.74,2.74,0.04,0
17,0,0,0,0,0,48.62,0.56,0,20.5,0.0,0.0,8.29,0.0,0.0,0
1,0,0,0,0,0,39.21,1.56,0,9.99,0.0,0.0,1.0,0.0,0.0,0
2,0,0,0,0,0,42.2,1.42,0,4.83,0.0,0.0,4.14,0.0,0.0,0
52,0,0,0,0,0,47.3,0.53,0,58.45,0.0,0.0,8.9,0.0,0.0,0
1,0,0,0,0,0,19.09,17.05,1,26.79,0.0,0.0,0.37,0.0,0.0,0
19,0,0,0,0,0,45.35,3.83,1,54.04,0.0,0.0,3.52,0.0,0.0,0
12,0,0,0,0,0,38.94,2.52,0,42.86,0.0,0.0,2.8,0.0,0.0,0
4,0,0,0,0,0,41.11,6.13,0,5.0,0.0,0.0,8.01,0.0,0.0,0
2,0,0,0,0,0,42.46,1.68,0,8.99,0.0,0.0,2.22,0.0,0.0,0
12,0,0,0,0,0,41.71,5.03,0,6.74,0.0,0.0,17.81,0.0,0.0,0
1,0,0,0,0,0,40.32,0.81,0,58.36,0.0,0.0,0.17,0.0,0.0,0
209,0,0,0,0,0,51.63,2.45,0,317.71,0.0,0.0,6.58,0.0,0.0,0
11,0,0,0,0,0,39.1,5.19,0,15.08,0.0,0.0,7.29,0.0,0.0,0
2,0,0,0,0,0,59.89,18.25,1,1.41,0.0,0.0,14.22,0.0,0.0,0
1,0,0,0,0,0,47.71,0.02,0,2.03,0.0,0.0,4.93,0.0,0.0,0
71,0,0,0,0,1,43.95,1.06,0,147.79,0.0,0.07,4.8,0.0,0.0,0
1083,0,0,0,8,0,42.39,1.53,0,1561.17,0.05,0.0,6.94,0.0,0.0,0
22,0,0,0,0,0,43.12,3.61,0,23.16,0.0,0.0,9.5,0.0,0.0,0
1,0,0,0,0,0,34.55,1.59,0,131.35,0.0,0.0,0.08,0.0,0.0,0
2,0,0,0,0,0,38.9,1.88,0,11.99,0.0,0.0,1.67,0.0,0.0,0
1,0,0,0,0,0,33.64,2.16,0,2.75,0.0,0.0,3.64,0.0,0.0,0
29243,13,0,0,0,0,42.56,0.0,0,25616.7,0.0,0.0,11.42,0.51,0.0,0
10,0,0,0,0,0,35.67,3.07,0,10.61,0.0,0.0,9.42,0.0,0.0,0
462,0,0,0,0,0,35.27,0.6,0,448.06,0.0,0.0,10.31,0.0,0.0,0
62,0,0,0,0,0,49.93,1.87,0,132.07,0.0,0.0,4.69,0.0,0.0,0
2,0,0,0,0,0,38.38,2.4,0,21.99,0.0,0.0,0.91,0.0,0.0,0
18,0,0,0,0,0,56.25,13.61,1,19.88,0.0,0.0,9.05,0.0,0.0,0
1,0,0,0,0,0,50.48,10.88,1,1.46,0.0,0.0,6.86,0.0,0.0,0
48,0,0,0,0,0,41.54,6.17,0,43.85,0.0,0.0,10.95,0.0,0.0,0
2,0,0,0,0,0,38.44,5.86,0,6.88,0.0,0.0,2.91,0.0,0.0,0
1,0,0,0,0,0,46.6,10.73,1,0.71,0.0,0.0,14.16,0.0,0.0,0
2,0,0,0,0,0,37.43,5.31,1,11.59,0.0,0.0,1.73,0.0,0.0,0
2,0,0,0,0,0,56.36,16.77,1,1.26,0.0,0.0,15.81,0.0,0.0,0
11,0,31,11,0,0,51.33,8.81,1,133.08,0.0,0.0,0.83,0.0,232.94,0
2,0,0,0,0,0,72.32,24.61,1,1.05,0.0,0.0,18.96,0.0,0.0,0
6,0,0,0,0,0,38.21,1.39,0,5.82,0.0,0.0,10.32,0.0,0.0,0
1,0,0,0,0,0,49.56,5.27,0,9.41,0.0,0.0,1.06,0.0,0.0,0
3,0,0,0,0,0,20.86,5.74,0,14.47,0.0,0.0,2.07,0.0,0.0,0
2,0,0,0,0,0,23.38,20.91,1,4.83,0.0,0.0,4.14,0.0,0.0,0
6,0,0,0,0,0,43.08,6.72,1,18.19,0.0,0.0,3.3,0.0,0.0,0
1,0,0,0,0,0,61.43,17.14,1,4.53,0.0,0.0,2.21,0.0,0.0,0
8,0,0,0,0,0,51.0,6.33,1,69.75,0.0,0.0,1.15,0.0,0.0,0
7,0,0,0,0,0,41.35,0.57,0,26.99,0.0,0.0,2.59,0.0,0.0,0
1,0,0,0,0,0,34.67,6.11,1,9.88,0.0,0.0,1.01,0.0,0.0,0
1,0,0,0,0,0,35.29,0.84,0,5.48,0.0,0.0,1.83,0.0,0.0,0
2,0,0,0,0,0,39.28,1.5,0,9.05,0.0,0.0,2.21,0.0,0.0,0
25,0,0,0,0,0,47.77,1.19,0,21.58,0.0,0.0,11.58,0.0,0.0,0
10,0,0,0,0,0,47.53,1.44,0,22.55,0.0,0.0,4.44,0.0,0.0,0
1,0,0,0,0,0,31.09,4.78,0,0.27,0.0,0.0,37.45,0.0,0.0,0
138,0,0,0,0,0,46.86,2.32,0,307.06,0.0,0.0,4.49,0.0,0.0,0
1,0,0,0,0,0,34.83,1.31,0,123.83,0.0,0.0,0.08,0.0,0.0,0
1,0,0,0,0,0,44.03,0.26,0,5.94,0.0,0.0,1.68,0.0,0.0,0
441,0,0,0,0,0,36.34,0.47,0,454.48,0.0,0.0,9.7,0.0,0.0,0
132,0,0,0,0,0,49.82,0.64,0,376.4,0.0,0.0,3.51,0.0,0.0,0
4,0,0,0,0,0,41.05,1.45,0,2.45,0.0,0.0,16.31,0.0,0.0,0
1,0,0,0,0,0,26.29,21.77,1,40.12,0.0,0.0,0.25,0.0,0.0,0
1,0,1,0,0,0,46.18,2.25,0,1.05,0.0,0.0,9.54,0.0,954.2,0
555,1,0,0,25,75,24.15,1.05,0,624.16,0.4,1.2,8.89,1.6,0.0,0
3,0,0,0,0,0,40.94,0.16,0,10.11,0.0,0.0,2.97,0.0,0.0,0
86,0,0,0,0,0,45.12,2.94,0,85.04,0.0,0.0,10.11,0.0,0.0,0
40,0,0,0,0,0,48.27,1.2,0,60.0,0.0,0.0,6.67,0.0,0.0,0
1,0,0,0,0,0,36.08,0.05,0,21.21,0.0,0.0,0.47,0.0,0.0,0
1,0,0,0,0,0,42.93,1.74,0,46.11,0.0,0.0,0.22,0.0,0.0,0
1,0,0,0,0,0,35.12,1.01,0,15.09,0.0,0.0,0.66,0.0,0.0,0
49,0,0,0,0,0,46.08,1.79,0,38.13,0.0,0.0,12.85,0.0,0.0,0
228,0,0,0,0,0,45.73,0.34,0,191.22,0.0,0.0,11.92,0.0,0.0,0
10,0,0,0,0,0,52.35,3.17,0,200.0,0.0,0.0,0.5,0.0,0.0,0
1,0,0,0,0,0,29.97,15.06,1,1.29,0.0,0.0,7.76,0.0,0.0,0
1,0,0,0,0,0,35.35,0.78,0,87.11,0.0,0.0,0.11,0.0,0.0,0
59,0,0,0,0,0,50.71,6.41,0,46.29,0.0,0.0,12.74,0.0,0.0,0
2,0,0,0,0,0,36.93,7.37,0,7.06,0.0,0.0,2.83,0.0,0.0,0
1705,0,0,0,0,5,36.88,2.87,0,3042.59,0.0,0.02,5.6,0.0,0.0,0
10,0,0,0,0,0,39.76,1.02,0,19.99,0.0,0.0,5.0,0.0,0.0,0
8,0,0,0,0,0,49.25,2.16,0,16.62,0.0,0.0,4.81,0.0,0.0,0
17,0,0,0,0,0,24.06,9.72,1,12.54,0.0,0.0,13.56,0.0,0.0,0
1,0,0,0,0,0,47.4,4.13,0,10.63,0.0,0.0,0.94,0.0,0.0,0
1,0,0,0,0,0,31.67,4.2,0,0.76,0.0,0.0,13.14,0.0,0.0,0
1,0,0,0,0,0,35.3,0.83,0,74.97,0.0,0.0,0.13,0.0,0.0,0
29,0,0,0,0,0,45.58,1.48,0,59.09,0.0,0.0,4.91,0.0,0.0,0
2,0,0,0,0,0,40.17,4.3,0,1.2,0.0,0.0,16.74,0.0,0.0,0
1,0,0,0,0,0,34.35,1.45,0,22.58,0.0,0.0,0.44,0.0,0.0,0
1,0,0,0,0,0,69.74,32.39,1,12.08,0.0,0.0,0.83,0.0,0.0,0
4,0,0,0,0,0,34.73,9.57,0,16.87,0.0,0.0,2.37,0.0,0.0,0
19,0,0,0,0,0,36.72,4.14,0,23.94,0.0,0.0,7.94,0.0,0.0,0
8,0,0,0,0,0,44.28,3.5,0,12.43,0.0,0.0,6.44,0.0,0.0,0
